0,1,2,3
375,922,1171,1355
376,432,733,1406
102,513,869,1322
315,554,749,1379
143,370,497,1238
1154,1227,1246,1469
223,504,1015,1283
390,777,1038,1324
302,433,602,1330
336,533,989,1067
214,381,1012,1299
230,1241,1293,1301
9,248,389,1409
137,1070,1200,1393
209,629,1147,1364
105,487,907,1114
223,647,1274,1350
620,966,1201,1291
138,823,1222,1385
46,785,801,1214
704,761,999,1490
89,426,448,1212
1174,1187,1207,1377
12,192,831,1176
427,994,1227,1328
673,756,798,1043
754,906,1036,1277
336,411,528,1085
700,985,1090,1373
457,615,935,1494
75,244,580,634
611,851,1088,1307
220,990,1100,1152
200,613,984,991
792,1014,1122,1262
92,469,504,1050
325,646,1142,1150
178,629,1051,1142
423,433,1115,1162
0,323,608,1383
157,705,723,927
761,814,1138,1412
418,423,432,643
244,261,661,1086
189,367,390,1160
307,671,716,1201
41,513,969,1021
246,332,948,1495
773,965,1126,1232
302,562,1152,1380
68,404,927,1412
28,912,1047,1497
126,791,917,1398
351,598,1006,1327
270,270,771,1275
54,156,444,829
269,336,623,1044
69,390,400,472
359,436,446,1393
278,415,487,903
377,575,1358,1435
451,852,999,1446
355,756,1058,1399
393,654,1081,1474
148,531,862,1101
697,1199,1245,1456
26,562,932,1195
420,452,587,1268
241,299,483,1391
142,704,917,1071
229,798,1371,1499
167,531,551,746
122,179,1402,1441
149,917,1099,1402
293,372,556,590
30,388,731,1310
172,781,1227,1459
172,583,820,821
12,165,939,1251
66,156,427,812
376,794,1134,1372
1178,1325,1405,1445
257,1031,1134,1250
207,383,601,649
54,342,575,1341
792,833,880,1321
257,638,1049,1355
158,421,493,1077
148,263,699,1403
57,367,1015,1173
35,1040,1343,1403
55,618,993,1098
254,815,826,1485
488,605,994,1084
5,52,323,685
623,925,1159,1474
181,768,802,1418
5,63,427,1048
435,569,587,807
351,518,1097,1447
171,209,727,861
19,166,733,926
119,500,631,1342
122,414,623,887
291,418,1052,1396
35,832,989,1030
97,249,790,873
944,984,1396,1407
337,403,838,1457
300,817,820,1343
104,154,685,1391
719,833,953,1147
414,423,531,1245
25,100,307,624
432,460,881,1208
155,283,439,933
163,693,860,1439
289,981,1087,1493
134,555,1306,1445
876,1232,1387,1471
217,483,1038,1170
782,1255,1261,1445
949,1097,1375,1414
297,827,963,990
191,472,852,916
152,178,263,781
207,383,1053,1266
505,762,1091,1215
112,1087,1105,1175
110,359,438,1203
112,190,1055,1417
158,454,513,696
86,270,949,993
155,853,1397,1467
182,668,1342,1489
15,290,590,1049
122,273,522,1440
137,299,413,1441
11,399,439,1325
850,1147,1357,1369
801,1030,1163,1238
198,313,404,1194
636,756,886,1440
678,745,1067,1083
160,905,1272,1489
707,973,1106,1332
544,964,1086,1422
194,934,1023,1354
496,625,1203,1492
148,219,499,1446
137,199,1205,1292
21,91,542,732
586,591,1128,1403
453,815,1390,1467
61,510,608,885
348,367,614,1247
701,1230,1258,1259
269,345,349,871
149,178,842,895
150,686,1011,1340
212,980,1117,1351
504,514,826,1325
760,1200,1261,1327
924,1118,1261,1371
232,396,448,1479
234,311,549,812
206,439,1087,1370
446,637,697,1191
199,439,1244,1368
453,521,523,671
496,1014,1100,1313
77,793,838,1366
56,231,497,874
165,166,597,1290
153,587,875,1037
922,996,1389,1479
350,431,918,1361
241,721,1185,1340
347,976,1252,1322
310,665,1196,1293
404,662,759,797
288,449,973,1494
254,580,603,675
364,446,642,1271
77,378,1298,1471
482,569,733,1140
32,542,550,681
404,711,809,841
74,1097,1097,1173
620,857,1060,1091
116,290,1079,1118
52,63,415,472
860,872,891,1442
46,692,1244,1274
235,751,901,1466
43,425,939,1479
263,347,516,920
355,397,806,1194
197,257,710,820
469,1037,1107,1493
360,753,1198,1199
314,438,1351,1369
34,147,498,1048
114,820,846,1103
252,777,991,1273
85,93,95,1021
181,232,318,798
877,961,1149,1277
27,241,997,1159
960,1020,1022,1096
47,198,260,1321
82,442,931,973
249,527,654,1379
446,844,996,1305
39,289,830,1211
463,471,854,1093
94,852,1313,1416
121,194,483,1383
456,549,938,1444
0,147,815,975
730,775,1305,1398
612,720,931,1412
455,705,953,1033
87,331,993,1233
16,919,1178,1274
140,203,800,1122
499,656,1075,1107
320,934,1217,1402
510,634,946,1014
108,445,902,932
470,484,538,1289
44,252,1093,1453
138,748,943,1023
203,461,535,584
238,945,972,987
423,573,1180,1364
48,536,764,1121
77,419,436,704
435,531,760,1430
278,416,941,1437
620,645,725,896
125,641,675,1439
1120,1132,1348,1472
208,647,893,1079
480,576,1054,1386
1011,1143,1165,1169
290,334,441,1004
186,783,1265,1456
181,553,566,1495
645,1015,1079,1201
237,398,775,1034
174,672,753,909
583,660,874,1027
271,844,1147,1452
11,701,1339,1388
356,820,981,1439
249,687,734,1420
74,364,894,1187
327,356,685,1433
40,857,869,957
110,551,1093,1144
356,656,729,1189
486,735,876,1094
124,270,597,1156
96,298,658,894
75,262,456,671
434,826,1453,1494
1,170,620,839
168,185,748,972
160,656,661,1293
41,295,1148,1477
63,93,816,968
290,421,1026,1086
84,93,483,1223
56,1077,1371,1429
664,740,1014,1239
485,641,1069,1122
578,887,1103,1155
551,729,1155,1415
591,734,1251,1413
454,470,1219,1439
133,692,1342,1485
141,666,1114,1223
281,809,1000,1433
959,1020,1110,1133
19,432,605,1062
233,388,1138,1407
465,1046,1288,1467
605,796,966,1128
662,903,1086,1101
38,125,205,1088
537,897,1030,1325
80,282,391,827
360,517,680,1140
283,922,1135,1227
143,175,571,694
5,906,1089,1172
19,703,763,1076
159,216,905,1162
239,262,769,834
126,818,1414,1477
854,1059,1285,1416
494,523,533,1277
162,513,557,1124
130,160,439,1242
110,156,387,1012
96,382,580,861
589,724,1184,1342
59,301,1460,1490
218,830,1009,1157
462,808,1299,1310
430,922,1014,1141
290,439,1157,1411
939,945,1332,1396
110,390,440,625
562,562,1025,1161
15,515,626,1204
163,294,961,979
65,77,237,1491
380,393,425,876
307,661,975,987
425,587,701,1433
396,505,1285,1395
185,329,1383,1463
437,577,1048,1230
44,610,698,890
321,397,481,860
64,896,1190,1204
148,528,589,1089
444,833,1193,1227
88,197,359,565
205,810,868,1243
705,714,969,1011
19,129,538,1317
148,667,1036,1165
219,588,713,1299
68,541,870,1437
236,812,1052,1089
342,616,1127,1314
66,179,810,1376
197,350,688,1376
295,972,1034,1037
238,1183,1335,1456
447,606,639,1412
243,338,1071,1183
172,648,1223,1288
203,398,503,901
234,736,877,1376
617,838,1111,1298
103,207,209,339
206,515,807,1159
303,742,860,1103
264,489,499,633
38,493,1091,1142
15,1247,1265,1499
16,647,927,1487
104,152,214,938
657,808,992,1118
31,1115,1263,1305
663,1287,1315,1354
309,416,601,1238
533,804,1140,1446
461,537,1217,1446
251,496,1085,1299
17,373,1111,1112
103,247,588,706
71,711,749,1347
47,867,1353,1416
351,456,520,666
154,493,850,1141
155,1160,1202,1446
44,197,1153,1304
565,786,1307,1405
317,970,1094,1476
691,966,1418,1423
1116,1150,1393,1442
265,710,727,1490
181,705,1234,1418
17,40,719,753
11,245,526,1191
440,669,803,835
640,906,1384,1440
576,781,847,1393
274,642,1342,1493
123,784,931,1112
56,150,802,883
606,632,834,897
268,615,851,1077
476,783,855,873
379,588,977,1303
203,337,1185,1312
4,904,935,1102
60,667,1340,1343
134,473,1149,1241
323,637,1117,1493
179,255,810,891
461,552,954,1081
155,512,1191,1284
33,783,1187,1463
245,545,741,1314
78,359,929,1206
349,492,720,1006
341,451,495,1332
163,495,809,1100
198,264,1183,1365
274,377,588,599
560,1030,1290,1410
9,762,900,1100
256,425,638,968
658,789,949,1242
320,816,1049,1061
116,829,1002,1202
371,669,1023,1182
15,288,1248,1439
3,407,515,731
459,653,731,784
223,703,725,1040
579,915,1105,1381
519,738,883,1433
93,149,744,1057
261,301,1365,1406
61,94,969,1428
729,1248,1273,1473
502,596,830,1294
2,578,857,1474
275,294,643,775
272,1199,1210,1467
118,932,1073,1200
76,202,790,1199
1040,1081,1180,1398
405,407,958,1156
321,551,1350,1468
6,14,1357,1498
246,931,1436,1488
85,247,307,691
318,519,634,1210
921,1099,1099,1101
574,1182,1340,1437
413,858,1097,1310
235,720,947,1104
66,224,672,1070
319,626,1084,1220
293,652,1289,1460
262,582,619,1396
815,825,1174,1431
397,479,556,1421
384,916,1192,1387
1066,1313,1336,1383
188,378,873,1482
232,857,988,1293
716,1106,1285,1492
30,500,860,989
436,628,654,707
86,415,461,1002
280,494,1117,1303
27,584,1242,1264
43,244,482,902
145,613,801,1228
7,278,714,1028
332,370,495,1149
267,751,1355,1441
208,682,682,1382
341,439,838,1198
170,985,1316,1401
61,724,1065,1493
439,857,888,899
174,528,1016,1345
24,977,1286,1404
428,621,691,1147
796,1066,1323,1388
397,685,828,849
68,466,839,1278
206,474,653,1104
311,410,733,805
204,882,1376,1424
217,1343,1425,1478
237,770,1140,1289
329,738,767,1439
55,192,238,800
63,808,847,1151
35,477,541,772
89,318,1297,1334
561,650,904,1117
231,1161,1194,1253
283,297,911,1003
155,185,921,1072
335,489,851,949
227,305,562,1364
323,840,1331,1458
184,208,507,1114
95,912,994,1006
737,924,1435,1444
107,617,885,903
201,407,1233,1477
615,1124,1457,1458
329,520,739,859
335,655,832,1387
681,976,1054,1120
113,261,724,828
112,399,930,1326
73,128,725,929
117,834,1330,1475
160,283,518,937
194,488,1128,1246
359,762,917,1051
149,578,644,799
514,668,1210,1456
344,609,639,656
442,1140,1188,1406
386,480,949,1140
72,533,1310,1433
181,356,864,985
152,273,326,441
317,439,617,1449
107,1211,1388,1451
89,196,291,1101
284,311,856,1339
211,214,563,1349
72,520,1007,1476
615,763,778,1459
12,259,1037,1197
215,742,1198,1216
280,313,419,1318
10,174,226,328
949,1135,1181,1212
26,833,1290,1294
16,133,495,1080
172,221,246,477
56,149,399,812
465,763,803,1466
584,765,1067,1460
434,518,861,1006
350,388,860,924
579,913,962,1375
436,762,1085,1217
298,848,1327,1360
107,1087,1108,1270
55,336,1282,1407
339,659,1088,1135
395,603,917,1079
138,685,890,1052
471,765,973,1245
556,745,1116,1471
28,899,1177,1336
298,497,748,845
90,840,1112,1371
385,445,826,1127
196,498,1066,1222
843,1181,1357,1394
91,349,527,811
725,828,865,984
257,977,980,1016
947,1188,1406,1415
266,518,901,1118
131,562,692,1123
247,784,1003,1462
94,555,827,1306
265,1078,1226,1242
106,585,1201,1327
99,131,431,1098
926,1032,1323,1437
205,551,1087,1159
798,968,1079,1446
484,862,879,1208
488,710,1068,1136
17,466,849,1324
570,1070,1277,1371
452,807,1147,1441
257,393,503,1229
800,1018,1368,1375
354,403,465,1001
102,207,907,1370
611,673,854,908
732,950,974,1420
163,177,622,789
62,331,546,557
227,230,967,1462
288,290,328,1495
551,699,790,1293
960,1321,1384,1478
545,757,1134,1269
9,737,1108,1312
27,290,499,580
508,603,637,1084
344,372,1115,1196
67,398,815,1162
61,526,785,1460
311,742,1279,1390
6,321,1116,1160
283,625,687,847
63,475,1058,1123
498,778,1158,1476
560,659,1105,1146
566,576,767,1188
163,234,1137,1160
85,443,555,1102
334,444,500,1160
25,170,600,829
148,560,1080,1160
134,406,609,1163
181,581,808,1245
167,511,725,929
67,118,1216,1364
571,590,613,986
164,318,584,1488
72,177,465,1195
240,456,905,1387
640,933,1125,1472
153,375,736,740
722,985,1014,1335
13,571,1202,1213
258,875,1117,1348
269,630,1138,1468
177,463,809,967
373,489,693,1219
269,347,617,796
819,1028,1246,1309
14,639,744,1017
470,553,701,912
99,378,935,1062
642,1405,1468,1468
66,550,1115,1171
72,283,1023,1121
755,1053,1262,1462
195,533,615,887
164,968,1317,1356
643,910,1126,1254
226,308,1207,1338
113,220,1313,1495
175,262,448,854
2,571,940,1340
101,111,264,638
266,652,890,1383
290,310,467,1209
255,722,1353,1498
33,157,595,981
99,254,972,1188
432,811,846,1248
186,187,434,760
50,164,168,302
199,219,264,445
263,297,397,1070
25,351,891,986
54,201,509,1146
660,689,697,1049
119,247,864,1248
330,707,1153,1222
352,574,833,1081
600,629,660,759
319,339,409,449
35,494,729,758
523,763,1065,1084
332,752,995,1349
589,625,880,1145
238,294,1239,1379
482,653,927,1103
320,340,393,968
160,227,723,1102
290,989,1204,1248
606,746,1396,1472
554,828,1015,1074
661,774,1091,1094
78,604,724,1093
714,735,764,1452
19,492,549,558
934,1074,1137,1375
804,970,1059,1456
389,779,1183,1278
7,400,1370,1404
453,679,1266,1268
323,406,892,939
211,332,583,899
671,1138,1262,1466
63,1011,1222,1335
119,609,943,1441
496,766,767,939
768,929,1126,1461
150,535,705,1109
574,1010,1136,1318
26,435,773,1190
450,468,632,1068
258,350,598,1237
791,1071,1308,1357
164,536,1033,1195
197,1078,1156,1189
12,134,445,556
724,943,1311,1495
231,409,841,1337
587,722,1081,1410
478,641,699,1122
274,408,424,1470
71,569,659,723
136,183,948,1302
1041,1347,1364,1479
40,402,472,865
88,737,974,1022
237,502,576,1183
93,1256,1368,1409
667,814,869,1324
774,828,1410,1425
99,933,1019,1331
91,520,1401,1446
82,350,455,911
169,174,1192,1196
194,199,864,935
652,906,1443,1469
80,586,1030,1257
330,493,591,1437
116,293,588,697
65,105,167,249
609,964,1125,1418
361,466,759,827
405,716,1171,1314
190,383,833,1395
1,116,898,1229
347,905,1086,1226
401,744,1078,1259
16,559,792,1484
154,1168,1337,1389
49,562,591,1346
239,673,916,1403
196,339,1250,1277
446,506,697,1282
292,557,710,732
175,499,762,1065
559,1103,1201,1278
164,293,378,571
88,458,1106,1321
230,541,981,1395
344,451,1239,1499
4,720,1278,1358
360,1096,1242,1315
57,274,1267,1341
19,461,882,1052
508,517,664,1274
1422,1436,1460,1461
77,204,802,1423
147,769,1239,1484
120,477,742,1014
373,837,840,1020
24,483,1012,1440
364,509,842,1119
72,514,809,1161
494,826,898,899
601,964,1016,1039
239,683,745,1103
168,311,806,1140
213,224,1377,1425
33,134,1046,1314
418,521,691,1055
62,178,346,997
231,253,550,813
232,348,393,1055
164,221,712,1302
247,282,289,1479
286,847,926,1101
6,676,1415,1432
10,103,1076,1112
184,591,835,1418
246,360,407,1077
191,665,665,940
55,391,1049,1464
54,556,826,1106
7,105,534,846
1073,1342,1414,1489
185,406,671,1163
183,344,1082,1399
618,636,977,1338
55,777,810,977
234,489,1115,1181
98,360,617,1187
379,432,498,1399
243,663,998,1188
7,192,489,1444
269,693,1185,1444
386,583,885,1277
368,974,1030,1385
818,1083,1269,1273
389,1050,1379,1489
464,685,766,1248
33,870,1147,1337
47,59,1115,1314
167,569,688,1137
717,983,993,1017
197,711,1185,1497
299,489,725,1021
40,337,611,1010
307,753,952,1266
299,316,1118,1412
156,796,970,1012
398,432,1048,1379
753,795,979,1305
470,596,734,1338
152,234,1001,1071
93,365,755,1216
480,557,812,1368
383,997,1305,1442
263,628,1065,1385
81,165,1038,1341
235,251,324,1370
5,154,282,877
2,653,682,1303
225,656,658,803
183,614,671,1079
361,416,458,1179
769,925,1203,1459
129,555,922,1468
777,1135,1290,1350
78,106,1107,1395
5,749,1348,1442
424,711,790,1371
35,431,750,1224
130,543,957,1404
609,824,1001,1472
459,530,1007,1129
258,453,836,1425
234,354,434,464
126,171,1342,1391
13,45,710,1044
96,586,1011,1011
1176,1261,1285,1472
568,594,630,1447
64,756,1281,1429
183,257,630,715
832,1020,1075,1254
169,754,1084,1180
657,882,1102,1470
17,51,587,1088
59,768,896,1327
403,713,741,1180
350,509,1057,1101
29,524,685,1324
141,210,1001,1194
137,650,1029,1104
280,693,970,1215
301,421,638,1319
321,524,1422,1447
172,597,834,1310
84,758,813,1462
515,547,659,890
270,362,711,1104
213,308,553,918
213,567,722,1298
392,533,923,1419
480,508,1089,1105
81,272,406,668
311,743,884,1303
52,433,1130,1330
163,296,1350,1415
526,737,1240,1337
367,991,1347,1367
375,647,819,1038
123,657,679,704
61,503,949,1084
141,427,974,1407
60,1111,1420,1484
466,596,1139,1261
114,689,987,1311
467,493,632,1342
166,223,262,330
512,696,869,1236
53,150,954,1229
489,791,1088,1488
25,219,706,949
56,210,670,1185
121,627,798,953
295,670,912,919
7,424,740,801
645,754,855,1269
470,550,747,880
89,191,830,941
256,817,885,1355
632,639,939,988
29,125,779,1089
837,1017,1049,1338
736,1125,1252,1433
19,791,926,1456
94,227,1322,1416
153,289,1104,1441
170,211,991,1112
347,1122,1127,1139
116,350,780,1036
82,643,1352,1486
33,437,464,890
319,1020,1033,1199
98,773,803,1387
